,Brands,Styles,Prices,Available_in_Multiple_Colors
1442,Under Armour,Ripple MTL,335285,Tidak
1443,Le Confort,Wide Double Strap Sandals,199100,Tidak
1444,Robert Wood,Cross Strap Sandals,6955,Tidak
1445,Reebok,DMX Fusion Lite N,520312,Tidak
1446,Topman,Bryant Derby Shoes,175105,Ya
1447,Nike,SB Portmore II SLR,349209,Tidak
1448,Diesel,S-Danny Camo Sneakers,989593,Tidak
1449,Jack & Jones,Bromley  Lace Ups,295221,Tidak
1450,Onitsuka Tiger,GSM,415249,Tidak
1451,adidas Originals,Tubular Shadow PK,550413,Tidak
1452,Aldo,Royton Slip On,499250,Ya
1453,Comfort Plus,Leather Arabic Sandals,175158,Tidak
1454,Calvin Klein,Logo Flipflops,173104,Tidak
1455,Crime London,Sprint Sneakers,935608,Tidak
1456,Aldo,Nedeleg Sneaker,299254,Ya
1457,Call It Spring,Naudien Sneakers,249149,Tidak
1458,Steve Madden,Peru Sandals,399200,Ya
1459,Converse,Chuck Taylor 70,377283,Tidak
1460,Converse,One Star,346208,Tidak
1461,Under Armour,RailFit TXT,524354,Tidak
1462,Puma,Suede 90681,495297,Tidak
1463,Robert Wood,Classic Formal Slip Ons,12997,Tidak
1464,Asics,GEL-VT V,499299,Tidak
1465,Robert Wood,Perforated Driver Moccasins,12997,Tidak
1466,Aldo,Cowien Sneakers,299179,Tidak
1467,Tommy Hilfiger,Corporate Leather Detail Sneakers,645484,Tidak
1468,Seventy Five,Flexible Slip Ons,11965,Tidak
1469,Polo Ralph Lauren,Thompson Slip Ons,380247,Tidak
1470,Aldo,Qasien Sandals,299179,Tidak
1471,Steve Madden,Secured Sandals,199119,Tidak
1472,Aldo,Kaenawiel Slide Velcro Sandals,199119,Tidak
1473,Call It Spring,Laoven Sneakers,320192,Tidak
1474,Nike,Mercurial Superfly 6 Elite FG,12991169,Tidak
1475,Puma,Avid Fusefit,630378,Tidak
1476,Kurt Geiger London,Alverez Sneakers,480288,Ya
1477,G-Star Raw,Logo Strap Casual Slides,169101,Tidak
1478,Topman,Striped Casual Sneakers,13584,Tidak
1479,Steve Madden,Badi Sandals,279140,Tidak
1480,Steve Madden,Africa Cross Strap Sandals,399200,Tidak
1481,Ecco,Melbourne Slip ons,649487,Ya
1482,adidas Originals,Gazelle,425255,Tidak
1483,Seventy Five,Faux Fur Lining High Top Sneakers,12984,Ya
1484,Reebok,Astroride Flex Tr,470447,Tidak
1485,Nike,Air Max 1,669368,Tidak
1486,Tommy Hilfiger,Iconic Neoprene Sock Runner,475404,Tidak
1487,Asics,GEL-Kayano 5 OG,615461,Ya
1488,Diesel,S-rv Sneakers,635381,Tidak
1489,Ecco,Vitrus III Lace Ups,849637,Tidak
1490,New Look,Casual Slip Ons,8949,Tidak
1491,Reebok,Revenge Plus MU,520260,Tidak
1492,Tommy Hilfiger,Colour Block Heel Lace Ups,645387,Tidak
1493,Nike,Epic React Flyknit,749637,Tidak
1494,Asics,Fuzetora,395246,Tidak
1495,Le Confort,Formal Lace ups,449269,Tidak
1496,Le Coq Sportif,LCS R800,460345,Tidak
1497,Tommy Hilfiger,Casual Slides,239143,Tidak
1498,Asics,GEL - Lyte,445334,Ya
1499,Crime London,Beat Sneakers,749562,Tidak
1500,Call It Spring,Casual Sneakers,289217,Tidak
1501,Slydes,Cali Logo Pool Slides,9571,Ya
1502,Aldo,Zeviel Lace Ups,479407,Tidak
1503,Call It Spring,Meriwen Slip Ons,219131,Tidak
1504,Aldo,Fildes Slip Ons,469399,Ya
1505,Le Coq Sportif,Courtset,325244,Tidak
1506,Le Confort,Cross Strap Sandals,299150,Tidak
1507,Asics,GEL - Lyte,445267,Ya
1508,Aldo,Umenalla Slip Ons,469446,Tidak
